"","Up-regulated","Down-regulated"
"P1603-01-E929-U133Plus-2.CEL",0.348707756960252,-0.270961171925867
"P1604-01-E912-U133Plus-2.CEL",-0.201305104179022,0.19685644881853
"P1605-01-E926-U133Plus-2.CEL",-0.299328469272932,0.242973062601722
"P1606-01-E950-U133Plus-2.CEL",0.441217714843044,-0.372770524269004
"P1614-01-E995-U133Plus-2.CEL",-0.192749912105942,0.212044187089045
"P1618-01-F008-U133Plus-2.CEL",-0.380723319508891,0.410472795544041
"P1622-01-E994-U133Plus-2.CEL",-0.180272018066106,0.253256078484521
"P1628-01-F023-U133Plus-2.CEL",0.213412852969815,-0.207832302025235
"P0163-01-A575-U133Plus-2.CEL",0.213741221168976,-0.212372461263588
"P1635-01-E988-U133Plus-2.CEL",0.212653128260617,-0.208161383488522
"P1639-01-F130-U133Plus-2.CEL",0.178952237115348,0.152598955066942
"P1644-01-F006-U133Plus-2.CEL",-0.214865450605021,0.120403686749169
"P1645-01-F048-U133Plus-2.CEL",0.305398505603985,-0.273571186941293
"P1646-01-F012-U133Plus-2.CEL",0.385049663392561,-0.354951510574679
"P0165-01-A596-U133Plus-2.CEL",-0.30273305639759,0.290727337702884
"P0168-01-A602-U133Plus-2.CEL",-0.18300855566813,0.18079794684012
"P0170-01-A609-U133Plus-2.CEL",0.363556650246305,-0.362265163957808
"P0171-01-A617-U133Plus-2.CEL",0.229339622641509,-0.168263490793219
"P0175-01-A638-U133Plus-2.CEL",-0.301504770164788,0.298105493783036
"P0176-01-A652-U133Plus-2.CEL",-0.506525407404554,0.495978800980899
"P0187-01-A691-U133Plus-2.CEL",0.531853689710913,-0.494034281018255
"P0199-01-A780-U133Plus-2.CEL",-0.298024991582177,0.252507253082904
"P0200-01-A776-U133Plus-2.CEL",0.270012137371165,-0.29560520132352
"P0202-01-A786-U133Plus-2.CEL",0.296586622593817,-0.29354948601049
"P0208-01-A823-U133Plus-2.CEL",0.167178962504148,-0.163055378167991
"P0212-01-A838-U133Plus-2.CEL",-0.228597756699247,0.171675440821894
"P0213-01-A840-U133Plus-2.CEL",-0.202441238295433,0.195018262391067
"P0215-01-A862-U133Plus-2.CEL",0.365919070419245,-0.355152339005845
"P0221-01-A882-U133Plus-2.CEL",-0.141698711176844,-0.214614420193779
"P0222-01-A893-U133Plus-2.CEL",-0.178388697902585,0.159255273551465
"P0226-01-A901-U133Plus-2.CEL",0.383506656047332,-0.366406338972233
"P0232-01-A932-U133Plus-2.CEL",-0.20335521106805,0.29137126329588
"P0237-01-A953-U133Plus-2.CEL",-0.406825223359792,0.390551718635021
"P0239-01-A956-U133Plus-2.CEL",-0.352077726451095,0.368822384934353
"P0241-01-A969-U133Plus-2.CEL",-0.200448190069034,0.125755977102738
"P0249-01-A990-U133Plus-2.CEL",0.179887841910502,-0.168801001139206
"P0250-01-A992-U133Plus-2.CEL",-0.196104149511296,0.142618772811565
"P0251-01-A994-U133Plus-2.CEL",-0.30370513367739,0.277524133754396
"P0254-01-B13-U133Plus-2.CEL",-0.194519020115515,0.222749570459299
"P0255-01-B14-U133Plus-2.CEL",0.22611270896998,-0.176314157085845
"P0256-01-B16-U133Plus-2.CEL",-0.231540625382201,0.288372130785758
"P0259-01-B22-U133Plus-2.CEL",0.239966774181013,-0.240105594774993
